Timestamp,I lack companionship,There is no one I can turn to,I am an outgoing person,I feel left out,I feel isolation from others,I can find companionship when I want it,I am unhappy being so withdrawn,People are around me but not with me,Where would you place yourself along this scale based on the definitions provided above?,Are you a pet-owner?,Do you  live with a pet this semester?,What pet(s) do you have? Check all that apply.,Do you live with more than one pet currently (during school this semester)? ,"If you have more than one pet, please select the one you spend the most time with to answer additional questions about, and indicate what type of animal they are below. ","If you currently live with a pet, are you involved in caring for the pet you live with?",How many hours per day do you spend interacting with your pet? ,Is your pet a registered service animal or emotional support animal providing care for you?,How long have you shared a living space with your pet?,What gender do you identify as?,What race(s) do you identify as? Check all that apply.,What school year are you in?,What is your primary academic college at CMU?,Rate your stress level during previous semesters at CMU (prior to COVID-19). Leave blank if not applicable.,How confident are you about your abilities to balance your coursework this Spring 2021 semester?,PARTICIPANT CONSENT,Rate your stress level during this semester at CMU,PARTICIPANT AGE REQUIREMENT,Do you currently live with a healthcare worker?.1,Do you currently live with someone who is immunocompromised?.1,What's your living situation this semester?.1,"During an average week in the Spring 2021 semester, how many hours do you spend on only *in-person* extracurricular activities (not including paid jobs)?  ",Do you participate in extracurricular activities (not including paid jobs)? ,Are you working a paid full-time or part-time job this Spring 2021 semester?.1,"If you have a paid job, are you employed by CMU?","If you have a paid job, what is the format of it?.1",What are the formats of your extracurricular activities? Check all that apply.,"During an average week in the Spring 2021 semester, how many hours do you spend on only *online* extracurricular activities (not including paid jobs)?  ","During an average week in the Spring 2021 semester, how many hours do you spend on *hybrid* extracurricular activities (not including paid jobs)?  "
4/2/2021 17:45:25,3,2.0,3,1,2,2,2.0,2,4,Yes,No,"Dog, Cat, Fish",No,Cat,,,No,10+ years,Female,"Native Hawaiian or Other Pacific Islander, White",first year,Carnegie Institute of Technology,,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/2/2021 17:52:32,2,1.0,4,2,2,3,2.0,1,5,No,No,,,,,,,,Male,Asian,second year,Mellon College of Science,5.0,7.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/2/2021 18:03:10,1,1.0,2,1,2,4,2.0,2,3,Yes,No,Dog,No,Dog,,,No,10+ years,Female,White,third year,Dietrich College,5.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/2/2021 18:36:52,3,2.0,3,1,2,2,2.0,2,4,Yes,No,"Dog, Cat, Fish",No,Cat,,,No,10+ years,Female,"Native Hawaiian or Other Pacific Islander, White",first year,Carnegie Institute of Technology,,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/3/2021 0:43:14,1,1.0,3,2,2,3,2.0,2,3,Yes,No,"Dog, Cat",Yes,Dog,,less than 1 hour,No,10+ years,Male,White,second year,Dietrich College,4.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,,,,,,,,,,,
4/3/2021 10:44:48,3,2.0,2,2,2,3,2.0,3,2,Yes,Yes,Fish,Yes,Fish,Yes,less than 1 hour,No,3-5 years,Male,Asian,second year,Carnegie Institute of Technology,4.0,7.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,,,,,,,,,,,
4/3/2021 11:19:12,2,1.0,4,3,3,2,3.0,3,4,No,No,,,,,,,,Male,Asian,third year,Dietrich College,4.0,2.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 13:09:15,2,2.0,3,2,2,3,2.0,2,3,Yes,No,Dog,No,,,,No,6-9 years,Female,Asian,second year,Dietrich College,4.0,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 13:09:23,2,1.0,3,2,2,4,1.0,2,4,No,,,,,,,,,Male,White,second year,Carnegie Institute of Technology,3.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 13:10:16,3,3.0,2,3,3,2,2.0,4,1,Yes,No,Dog,No,,,3-5 hours,No,3-5 years,Female,Black or African American,third year,Mellon College of Science,5.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 13:14:04,2,1.0,3,2,2,4,2.0,2,4,No,,,,,,,,,Female,Asian,second year,Carnegie Institute of Technology,7.0,2.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 13:16:13,2,2.0,2,3,3,2,4.0,3,2,No,No,,No,,,,,,Female,Asian,second year,Tepper School of Business,5.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 13:18:46,3,3.0,2,4,4,2,3.0,4,4,Yes,No,"Dog, Fish",No,Dog,,1-2 hours,No,,Female,"Asian, White",first year,Carnegie Institute of Technology,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 15:04:25,2,,2,2,2,3,1.0,2,2,Yes,Yes,Dog,Yes,Dog,Yes,1-2 hours,No,6-9 years,Female,"Asian, White",second year,Carnegie Institute of Technology,4.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 15:08:52,1,1.0,3,2,1,4,1.0,1,4,Yes,Yes,Cat,No,,Yes,3-5 hours,No,Less than 1 year,Female,White,second year,Dietrich College,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 17:12:14,1,1.0,3,2,3,4,1.0,2,3,No,No,,No,,,,,,Female,Asian,second year,Dietrich College,4.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 19:33:35,3,1.0,3,2,2,4,1.0,1,3,Yes,Yes,Cat,No,,Yes,1-2 hours,Yes,Less than 1 year,Female,White,second year,Dietrich College,3.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,,,,,,,,,,,
4/5/2021 23:39:58,1,1.0,3,2,1,4,1.0,1,4,Yes,Yes,Cat,No,,Yes,3-5 hours,No,Less than 1 year,Female,White,second year,Dietrich College,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 11:14:23,3,1.0,1,2,3,3,2.0,1,1,No,No,,,,,,,,Female,White,second year,Carnegie Institute of Technology,4.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 13:33:12,4,1.0,3,4,2,4,3.0,2,2,No,No,Dog,No,,,1-2 hours,No,Less than 1 year,Female,Asian,third year,School of Computer Science,6.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 13:33:35,2,1.0,3,2,1,3,1.0,2,4,Yes,No,Dog,No,,,,No,3-5 years,Male,Asian,5th year or above (grad students included),School of Computer Science,4.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",3.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 13:37:30,3,3.0,4,3,2,2,3.0,3,4,No,No,,No,,,,,,Male,Asian,5th year or above (grad students included),School of Computer Science,5.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 14:29:22,2,1.0,3,2,3,2,2.0,1,5,Yes,Yes,Dog,No,,Yes,3-5 hours,No,Less than 1 year,Female,Asian,fourth year,Tepper School of Business,5.0,2.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 16:25:20,4,4.0,2,4,4,1,4.0,4,2,Yes,No,Cat,No,,,,No,3-5 years,Female,Asian,third year,School of Computer Science,5.0,2.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 20:15:42,2,1.0,3,2,2,4,2.0,3,4,Yes,No,Dog,No,,,1-2 hours,No,6-9 years,Male,White,second year,Tepper School of Business,5.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 20:20:16,2,2.0,3,2,2,3,2.0,2,3,No,,,,,,,,,Female,"Asian, White",first year,Mellon College of Science,,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 20:25:13,1,1.0,2,2,2,3,2.0,1,3,No,,,,,,,,,Male,White,second year,Carnegie Institute of Technology,4.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 20:37:26,2,1.0,3,3,3,3,3.0,2,4,Yes,No,Dog,No,,Yes,6-10 hours,No,1-2 years,Female,Asian,first year,Mellon College of Science,5.0,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/6/2021 21:04:06,2,1.0,3,2,2,3,1.0,1,3,No,,,,,,,,,Female,Asian,fourth year,School of Computer Science,6.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/7/2021 0:45:10,2,2.0,2,3,4,3,2.0,4,2,Yes,Yes,Cat,No,,Yes,10+ hours,No,10+ years,Female,White,fourth year,Mellon College of Science,7.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/7/2021 11:25:51,3,2.0,3,1,1,3,1.0,2,3,Yes,Yes,Dog,No,,Yes,1-2 hours,No,10+ years,Male,White,fourth year,Carnegie Institute of Technology,3.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/7/2021 11:26:35,1,1.0,3,1,1,3,1.0,1,3,No,,,,,,,,,Male,Black or African American,fourth year,Carnegie Institute of Technology,6.0,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,,,,,,,,,,,
4/7/2021 11:31:20,1,3.0,4,1,2,3,2.0,3,4,No,,,,,,,,,Male,White,second year,Mellon College of Science,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/7/2021 11:57:27,2,1.0,4,2,1,4,2.0,1,4,Yes,No,"Dog, Cat",Yes,Dog,No,1-2 hours,No,10+ years,Male,White,second year,Dietrich College,4.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,,,,,,,,,,,
4/8/2021 13:05:54,2,1.0,3,3,3,4,3.0,4,3,Yes,Yes,Cat,No,,Yes,3-5 hours,No,Less than 1 year,Female,White,first year,Dietrich College,,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,Yes,Other,,Yes,No,,,Online,1-2 hours,
4/8/2021 13:06:30,3,2.0,3,2,3,3,2.0,1,2,Yes,No,Dog,,,,,No,10+ years,Male,Asian,fourth year,Carnegie Institute of Technology,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,Alone (on campus),,No,Yes,Yes,Virtual,,,
